,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
73,100 hp,2009,2,114.0,3081156.0,24.0,645742.0,90.0,2435414.0,100 hp,121.0,3240904.0,33.0,871914.0,88.0,2368990.0,121.0,3240904.0,33.0,871914.0,88.0,2368990.0
74,100 hp,2009,3,120.0,3335262.0,40.0,1131892.0,80.0,2203370.0,100 hp,120.66666666666667,3272356.6666666665,35.333333333333336,958573.3333333334,85.33333333333333,2313783.3333333335,120.66666666666667,3272356.6666666665,35.333333333333336,958573.3333333334,85.33333333333333,2313783.3333333335
75,100 hp,2009,4,112.0,2992632.0,36.0,924794.0,76.0,2067838.0,100 hp,115.33333333333333,3136350.0,33.333333333333336,900809.3333333334,82.0,2235540.6666666665,118.5,3202425.5,35.5,950128.5,83.0,2252297.0
76,100 hp,2009,5,78.0,2153802.0,26.0,735656.0,52.0,1418146.0,100 hp,103.33333333333333,2827232.0,34.0,930780.6666666666,69.33333333333333,1896451.3333333333,110.4,2992700.8,33.6,907234.0,76.8,2085466.8
77,100 hp,2009,6,156.0,4179414.0,50.0,1262718.0,106.0,2916696.0,100 hp,115.33333333333333,3108616.0,37.333333333333336,974389.3333333334,78.0,2134226.6666666665,118.0,3190486.3333333335,36.333333333333336,966481.3333333334,81.66666666666667,2224005.0
78,100 hp,2009,7,100.0,2851080.0,22.0,624996.0,78.0,2226084.0,100 hp,111.33333333333333,3061432.0,32.666666666666664,874456.6666666666,78.66666666666667,2186975.3333333335,113.33333333333333,3098891.0,33.0,887633.0,80.33333333333333,2211258.0
79,100 hp,2009,8,134.0,3925488.0,38.0,994744.0,96.0,2930744.0,100 hp,130.0,3651994.0,36.666666666666664,960819.3333333334,93.33333333333333,2691174.6666666665,116.66666666666667,3239613.0,35.333333333333336,945800.0,81.33333333333333,2293813.0
80,100 hp,2009,9,126.0,3589132.0,24.0,630340.0,102.0,2958792.0,100 hp,120.0,3455233.3333333335,28.0,750026.6666666666,92.0,2705206.6666666665,117.66666666666667,3281924.6666666665,32.666666666666664,862208.0,85.0,2419716.6666666665
81,100 hp,2009,10,120.0,3162878.0,34.0,889908.0,86.0,2272970.0,100 hp,126.66666666666667,3559166.0,32.0,838330.6666666666,94.66666666666667,2720835.3333333335,119.0,3310299.0,32.333333333333336,856393.6666666666,86.66666666666667,2453905.3333333335
82,100 hp,2009,11,134.0,3570258.0,26.0,698312.0,108.0,2871946.0,100 hp,126.66666666666667,3440756.0,28.0,739520.0,98.66666666666667,2701236.0,128.33333333333334,3546375.0,32.333333333333336,850169.6666666666,96.0,2696205.3333333335
83,100 hp,2009,12,186.0,5311434.0,26.0,743884.0,160.0,4567550.0,100 hp,146.66666666666666,4014856.6666666665,28.666666666666668,777368.0,118.0,3237488.6666666665,133.33333333333334,3735045.0,28.333333333333332,763697.3333333334,105.0,2971347.6666666665
84,100 hp,2010,1,114.0,2997528.0,14.0,354210.0,100.0,2643318.0,100 hp,144.66666666666666,3959740.0,22.0,598802.0,122.66666666666667,3360938.0,135.66666666666666,3759453.0,27.0,718566.3333333334,108.66666666666667,3040886.6666666665
85,100 hp,2010,2,152.0,4072330.0,50.0,1235366.0,102.0,2836964.0,100 hp,150.66666666666666,4127097.3333333335,30.0,777820.0,120.66666666666667,3349277.3333333335,138.66666666666666,3783926.6666666665,29.0,758670.0,109.66666666666667,3025256.6666666665
86,100 hp,2010,3,186.0,4959436.0,52.0,1262144.0,134.0,3697292.0,100 hp,150.66666666666666,4009764.6666666665,38.666666666666664,950573.3333333334,112.0,3059191.3333333335,148.66666666666666,4012310.6666666665,33.666666666666664,863970.6666666666,115.0,3148340.0
