RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
66,10 hp,2014,6,634,3069538,118,662806.24,516,2406731.76,2387236.66666667,572221.88,1898589.68666667,469,104.666666666667,379.666666666667,2372845.66666667,549429.94,1865203.17666667,432.166666666667,100.666666666667,339.166666666667
67,10 hp,2014,7,,,,,,,1396066,388085.213333333,1091555.68666667,279.666666666667,70,225,1954911,448385.273333333,1548313.17666667,364.5,82.3333333333333,289.833333333333
68,10 hp,2014,8,,,,,,,1023179.33333333,220935.413333333,802243.92,211.333333333333,39.3333333333333,172,1595798,364964.273333333,1272621.17666667,301.833333333333,66.6666666666667,242.833333333333
69,10 hp,2014,9,,,,,,,0,0,0,0,0,0,1193618.33333333,286110.94,949294.843333333,234.5,52.3333333333333,189.833333333333
70,10 hp,2014,10,,,,,,,0,0,0,0,0,0,698033,194042.606666667,545777.843333333,139.833333333333,35,112.5
71,10 hp,2014,11,,,,,,,0,0,0,0,0,0,511589.666666667,110467.706666667,401121.96,105.666666666667,19.6666666666667,86
72,10 hp,2014,12,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
73,100 hp,2009,1,128,3400652,42,1098086,86,2302566,3400652,1098086,2302566,128,42,86,566775.333333333,183014.333333333,383761,21.3333333333333,7,14.3333333333333
74,100 hp,2009,2,114,3081156,24,645742,90,2435414,3294153.33333333,947304.666666667,2346848.66666667,123.333333333333,36,87.3333333333333,1080301.33333333,290638,789663.333333333,40.3333333333333,11,29.3333333333333
75,100 hp,2009,3,120,3335262,40,1131892,80,2203370,3272356.66666667,958573.333333333,2313783.33333333,120.666666666667,35.3333333333333,85.3333333333333,1636178.33333333,479286.666666667,1156891.66666667,60.3333333333333,17.6666666666667,42.6666666666667
76,100 hp,2009,4,112,2992632,36,924794,76,2067838,3136350,900809.333333333,2235540.66666667,115.333333333333,33.3333333333333,82,2134950.33333333,633419,1501531.33333333,79,23.6666666666667,55.3333333333333
77,100 hp,2009,5,78,2153802,26,735656,52,1418146,2827232,930780.666666667,1896451.33333333,103.333333333333,34,69.3333333333333,2493917.33333333,756028.333333333,1737889,92,28,64
78,100 hp,2009,6,156,4179414,50,1262718,106,2916696,3108616,974389.333333333,2134226.66666667,115.333333333333,37.3333333333333,78,3190486.33333333,966481.333333333,2224005,118,36.3333333333333,81.6666666666667
79,100 hp,2009,7,100,2851080,22,624996,78,2226084,3061432,874456.666666667,2186975.33333333,111.333333333333,32.6666666666667,78.6666666666667,3098891,887633,2211258,113.333333333333,33,80.3333333333333
80,100 hp,2009,8,134,3925488,38,994744,96,2930744,3651994,960819.333333333,2691174.66666667,130,36.6666666666667,93.3333333333333,3239613,945800,2293813,116.666666666667,35.3333333333333,81.3333333333333
81,100 hp,2009,9,126,3589132,24,630340,102,2958792,3455233.33333333,750026.666666667,2705206.66666667,120,28,92,3281924.66666667,862208,2419716.66666667,117.666666666667,32.6666666666667,85
82,100 hp,2009,10,120,3162878,34,889908,86,2272970,3559166,838330.666666667,2720835.33333333,126.666666666667,32,94.6666666666667,3310299,856393.666666667,2453905.33333333,119,32.3333333333333,86.6666666666667
83,100 hp,2009,11,134,3570258,26,698312,108,2871946,3440756,739520,2701236,126.666666666667,28,98.6666666666667,3546375,850169.666666667,2696205.33333333,128.333333333333,32.3333333333333,96
84,100 hp,2009,12,186,5311434,26,743884,160,4567550,4014856.66666667,777368,3237488.66666667,146.666666666667,28.6666666666667,118,3735045,763697.333333333,2971347.66666667,133.333333333333,28.3333333333333,105
85,100 hp,2010,1,114,2997528,14,354210,100,2643318,3959740,598802,3360938,144.666666666667,22,122.666666666667,3759453,718566.333333333,3040886.66666667,135.666666666667,27,108.666666666667
86,100 hp,2010,2,152,4072330,50,1235366,102,2836964,4127097.33333333,777820,3349277.33333333,150.666666666667,30,120.666666666667,3783926.66666667,758670,3025256.66666667,138.666666666667,29,109.666666666667
87,100 hp,2010,3,186,4959436,52,1262144,134,3697292,4009764.66666667,950573.333333333,3059191.33333333,150.666666666667,38.6666666666667,112,4012310.66666667,863970.666666667,3148340,148.666666666667,33.6666666666667,115
88,100 hp,2010,4,132,3584350,46,1204880,86,2379470,4205372,1234130,2971242,156.666666666667,49.3333333333333,107.333333333333,4082556,916466,3166090,150.666666666667,35.6666666666667,115
89,100 hp,2010,5,174,4833424,46,1227894,128,3605530,4459070,1231639.33333333,3227430.66666667,164,48,116,4293083.66666667,1004729.66666667,3288354,157.333333333333,39,118.333333333333
